Zircon, 7.5, 4.6–4.7
Zabuyelite, 3, 2.09
Zaherite, 3.5, 2.007
Zaïrite, 4.5, 4.37
Zakharovite, 2, None
Zanazziite, 5, 2.76
Zavaritskite, 2 - 2½, 8.44 gm/cc
Zektzerite, 6, 2.79
Zellerite, 2, 3.25
Zeunerite, 2.5, 3.2 - 3.4
Zhanghengite, 3.5, 3.92
Zhangpeishanite, 2.5, 4.54
Zharchikhite, 4.5, 2.81
Zincite, 4, 5.64–5.68
Zinclipscombite, 5, 3.65
Zincobotryogen, 2.5, 2.201
Zincochromite, 5.8, None
Zincolivenite, 3.5, 4.33
Zinnwaldite, 3.5 - 4.0, 2.9 - 3.1
Zippeite, 2, 3.66
Zircon, 7.5, 4.6–4.7
Zircophyllite, 4 - 4.5, 3.34
Zoisite, 6 to 7, 3.10–3.36
Zorite, 3~4, 2.18
Zunyite, 7, 2.874(5) (meas.)  2.87 - 2.90 (calc.)
Gagarinite-(Ce), 3.5, 4.44–4.55
Fraipontite, 3.5 – 4, 3.08 – 3.10
