Chondrodite, 6 to 6.5, 3.1 to 3.26
Chrisstanleyite, 5, 3.6
Christite, 1-2, 6.2
Chromite, 5.5, 4.5–4.8
Chromium, 8.5, None
Chrysoberyl, 8.5, 3.5–3.84
Chrysocolla, 2.5–3.5 (7 for chrysocolla chalcedony, high-silica content), 1.9–2.4
Chrysotile, 2.5–3, None
Chvaleticeite, 1.5, 1.84
Cinnabar, 2.0–2.5, 8.176
Clarkeite, 4-4.5, 6.39
Claudetite, 2.15, 4.14 - 4.15
Clausthalite, 2.5, 7.6 - 8.8
Clearcreekite, probably 2, None
Cleusonite, 6-7, 4.74 (synthetic), ~5.15 (calculated)
Clinohedrite, 5.5, 3.28 - 3.33
Clinohumite, 6, 3.17-3.35
Clinoptilolite, 3+1⁄2 - 4, None
Clinozoisite, 6-7, 3.3 - 3.4
Clintonite, 3.5 on {001}, 6 at angle to {001}, 3.0 - 3.1
Cobaltite, 5.5, None
Coccinite, 2, 3.17 (calculated)
Coconinoite, 1-2, 2.70
Coesite, 7.5, None
Coffinite, 5–6, 5.1
Cohenite, 5.5–6, 7.2 – 7.65
Colemanite, 4.5, 2.42
Collinsite, 3 to 3.5, 2.99
Coloradoite, 2.5, 8.10
Columbite, 6, 5.3–7.3, Average = 6.3
Conichalcite, 4.5, 4.3
Connellite, 3, 3.36 to 3.41
Cooperite (mineral), 4-5, 9.5
Copiapite, 2.5 - 3, 2.04–2.17
Native copper, 2+1⁄2–3, 8.95
Corderoite, 3, 6.845 calc.
Cordierite, 7 - 7.5, 2.57 - 2.66
Corkite, 3.5 - 4.5, 4.295 (measured), 4.31 (calculated)
Cornubite, 4, 4.64
Cornwallite, 4.5, 4.17
Corundum, 9 (defining mineral)[2], 3.95–4.10
Cotunnite, 2.5, 5.80
Covellite, 1.5 - 2, 4.6 - 4.8
Coyoteite, 1-1.5, 2.5 - 2.62 measured; 2.879 calculated
Creedite, 3.5 - 4, 2.71
Cristobalite, 6–7, 2.32–2.36
Crocoite, 2.5–3, 5.9–6.1
Crookesite, 2.5–3, 6.90
Crossite, 6, None
Cryolite, 2.5 to 3, 2.95 to 3.0.
Cryptomelane, 6 – 6.5, 4.17 – 4.41
Cubanite, 3.5-4, 4.0-4.2
Cumengeite, 2.5, 4.656
Cummingtonite, 5–6, 3.1–3.6
Cupalite, 4-4.5, 5.12 g/cm3
Cuprite, 3.5 to 4, 6.14
Cuprosklodowskite, 4, 3.85
Cuprospinel, 6.5, 5 - 5.2
Curite, 4-5, 6.98 - 7.4
Cuspidine, 5-6, 2.85-2.96
Cyanotrichite, 1-3, 2.76
Cylindrite, 2+1⁄2, 5.4 - 5.42
Cymrite, 2-3, 3.49
Cyrilovite, 4, 3.081–3.096
Carnelian, 6.5 – 7.0, 2.58 - 2.64
Ceylonite, 7.5–8.0, 3.6–3.9
Chalcedony, 6–7, 2.59–2.61
Chrysoprase, 6.0–7.0, 2.651-2.91
Chrysotile, 2.5–3, None
Quartz, 7 – lower in impure varieties (defining mineral), 2.65; variable 2.59–2.63 in impure varieties
Chrysotile, 2.5–3, None
Riebeckite, 6, 3.28–3.44
Chrysoberyl, 8.5, 3.5–3.84
Diamond, 10 (defining mineral), 3.52±0.01
Danalite, 5.5 to 6, 3.28 - 3.46
Danburite, 7 – 7.5, 2.93 - 3.02
Datolite, 5 to 5.5, 2.96 – 3.00
Daubréeite, 2-2.5, 6-6.5
Daubréelite, 4.5-5, None
Davidite, 6 [2], 4.33 to 4.48
Dawsonite, 3, 2.436
Delafossite, 5.5, 5.41
Demesmaekerite, 3-4, 5.28
Descloizite, 3 - 3.5, 6.1 - 6.2
Devilline, 2.5, None
Diaboleite, 2.5, None
Diamond, 10 (defining mineral), 3.52±0.01
Diaspore, 6.5 - 7, 3.1 - 3.4
Dickite, 1.5 - 2, 2.6
Digenite, 2.5 to 3, 5.5 to 5.7 observed, 5.628 calculated
Dimorphite, 1.5, 3.59
Diopside, 5.5 - 6.5, 3.278
Dioptase, 5, 3.28–3.35
Djerfisherite, 3.5, None
Djurleite, 2+1⁄2 to 3, 5.63[3]
Dollaseite-(Ce), 6.5–7, 3.9
Dolomite (mineral), 3.5-4, 2.84–2.86
Domeykite, 3-3.5, 7.2 - 8.1, average = 7.65
Donnayite-(Y), 3, None
Doyleite, 2.5 - 3, None
Dresserite, 2.5 - 3, 2.96
Drysdallite, 2, 6.248 (Calculated)
Duftite, 4.5, 6.4 (measured), 6.60 (calculated)
Dumortierite, 7 - 8.5, 3.3 - 3.4
Dundasite, 2, 3.10 – 3.55
Dyscrasite, 3+1⁄2 - 4, 9.4 - 10
Dzhalindite, 4 - 4.5, 4.38
Diallage, 4 - 6, None
Emerald, 7.5–8, Average 2.76
Edenite, 5–6, 3.05 - 3.37
Edingtonite, 4 - 4.5, 2.73 - 2.78
Efremovite, 2, 2.52 (calculated)
Ekanite, 4.5, 2.95 - 3.28
Elbaite, 7+1⁄2, None
Emmonsite, 5, 4.52–4.55
Empressite, 3.5, 7.6
Enargite, 3, 4.4 to 4.5
Enstatite, 5 to 6, 3.2–3.3
Eosphorite, 5, 3.06 – 3.08
Ephesite, 3.5–4, 2.984
Epidote, 6–7, 3.38-3.49
Epsomite, 2, 1.67 - 1.68
Ericssonite, 4.5, None
Erionite, 3.5-4, 2.09 - 2.13 avg = 2.11
Erythrite, 1.5 - 2.5, 3.06
Eskolaite, 8 - 8.5, 5.18
Esperite, 5 - 5.5, 4.28 - 4.42
Ettringite, 2-2.5, 1.77
Euclase, 7.5, 2.99 - 3.1
Eucryptite, 6.5, None
Eudialyte, 5 - 6, 2.74–3.10
Euxenite, 5.5 to 6.5, 4.7 to 5
Eveite, 3+1⁄2 - 4, 3.76
Evenkite, 1, 0.87
Eveslogite, 5, None
Hydrokenoelsmoreite, 3, None
Emerald, 7.5–8, Average 2.76
Apophyllite-(KF), 4.5-5, 2.33-2.37
Fluorite, 4 (defining mineral), 3.175–3.184; to 3.56 if high in rare-earth elements
Mica, 2.5–4 (lepidolite); 2.5–3 (biotite); 2.5–3 (phlogopite); 2–2.5 (muscovite), 2.8–3.0
Faujasite, 4.5-5, 1.92–1.93
Fayalite, 6.5 – 7.0, 4.392
Feldspar, 6.0–6.5, 2.55–2.76
Felsőbányaite, 1.5, 2.33
Ferberite, 4–4.5, 7.58
Fergusonite, 5.5–6, None
Ferrierite, 3 - 3+1⁄2, None
Ferrimolybdite, 1-2, 2.99
Ferrogedrite, 5.5–6, 3.566
Ferroselite, 6 - 6.5, 7.20
Fettelite, 3.5, 6.29
Fichtelite, 1, 0.631 calculated[2] 1.032[3]
Fletcherite, 5, 4.76 calculated
Fluckite, 3.5-4, 3.05
Fluellite, 3, 2.18
Fluoborite, 3.5, 2.98
Fluocerite, 4-5, None
Fluor-buergerite, 7, 3.31
Fluor-liddicoatite, 7+1⁄2, 3.02
Fluor-uvite, 7.5, None
Fluorapatite, 5, 3.1 to 3.2
Apophyllite-(KF), 4.5-5, 2.33-2.37
Fluorcanasite, 5, 2.68
Fluorcaphite, 5, None
Fluorellestadite, 4+1⁄2, 3.03 to 3.07
Fluorite, 4 (defining mineral), 3.175–3.184; to 3.56 if high in rare-earth elements
Fluoro-richterite, 5 - 6, 3.17
Fontarnauite, 2.5 - 3, None
Fornacite, 2 - 3, None
Forsterite, 7, 3.21 – 3.33
Fourmarierite, 3 - 4, None
Fraipontite, 3.5 – 4, 3.08 – 3.10
Francevillite, 3, 4.55
Franckeite, 2.5 - 3, 5.88 – 5.92
Frankamenite, 5.5, 2.68
Frankdicksonite, 2.5, 4.89
Frankhawthorneite, 3-4, 5.43
Franklinite, 5+1⁄2-6, 5.07 - 5.22
Franklinphilite, 4, 2.6 - 2.8
Freibergite, 3+1⁄2 - 4, None
Freieslebenite, 2.5, 6.20-6.23
Fukuchilite, 4 - 6, 4.86
Fassaite, 6, 2.9-3.3
Columbite, 6, 5.3–7.3, Average = 6.3
Tantalite, 6-6.5, 8.0+
